EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52
176254,1,33,1,aa,47,2,3,383.94339736862196
176753,1,40,1,aa,3,1,3,663.2942297520246
176863,1,20,1,aa,54,2,3,105.93890530781754
177065,1,51,1,aa,42,4,3,664.2695800483987
177382,1,45,1,aa,44,5,4,901.9834656602543
180201,1,45,1,aa,9,5,4,398.73775764563834
183299,2,20,1,aa,55,4,3,173.13204735793505
186004,1,52,1,aa,51,1,3,1150.9379295650433
189043,1,45,1,aa,28,5,4,1322.38432162016
190982,2,20,1,aa,20,1,3,185.7181653835252
191349,2,45,1,aa,28,2,5,1314.2266169013017
191676,2,18,1,aa,48,1,3,580.8166775839704
191834,2,45,1,aa,21,1,3,482.0610689117868
193757,1,45,1,aa,6,6,5,1332.1049262477486
196635,2,18,2,aa,23,6,5,250.90202840942032
197673,1,20,2,aa,41,5,1,838.4088500295353
200607,1,47,2,aa,41,6,2,10.409177820694254
201684,1,40,2,aa,11,5,2,834.6861207894048
202541,2,55,2,aa,33,5,2,414.6379423289036
203547,2,51,1,aa,41,4,1,700.9322469548619
204102,2,53,1,aa,51,4,4,860.0719777922551
204193,1,53,1,aa,6,5,3,1257.8166568442796
206865,1,47,2,aa,28,4,3,670.261789790456
212905,1,20,1,aa,58,4,3,840.3687912596026
213011,1,20,2,aa,44,1,1,121.7400707693374
213384,2,18,1,aa,41,1,1,832.7528010140577
214031,1,53,2,aa,43,5,2,624.164215446217
214049,1,51,1,aa,44,2,1,667.5045479980139
215986,1,20,1,aa,28,2,4,252.8382437891109
216856,1,45,1,aa,28,4,1,1136.7286767225207
221766,1,51,1,aa,17,2,1,1343.9141297152657
221872,1,43,2,aa,38,4,2,392.38395515770867
224347,1,50,1,aa,45,2,1,702.42622083581
224798,1,51,1,aa,14,2,4,1138.83869092902
225624,1,45,1,aa,51,2,4,1135.4682913289466
226005,1,20,1,aa,44,4,4,102.36350092414386
228273,1,20,1,aa,41,2,2,116.31022819854536
229175,2,20,1,aa,15,2,3,187.64979984838038
246289,2,45,2,aa,10,2,5,1278.368825321197
247244,2,20,2,aa,28,2,1,183.5513378628042
250771,2,46,2,aa,11,2,1,84.81536546945469
251311,2,45,2,aa,3,5,1,26.7833172845546
254559,2,45,2,aa,9,2,3,1258.8776208667605
258880,2,41,2,aa,14,2,3,18.372272779248863
261631,2,45,2,aa,2,2,3,28.52771206774192
263227,1,57,1,aa,12,1,4,1121.8476189031803
268006,1,49,1,aa,14,6,4,1849.6840621945448
283426,2,60,1,aa,28,2,1,643.3124270495556
284484,1,51,1,aa,15,6,4,128.81271046276333
285538,2,53,1,aa,15,5,4,147.28669840160842
294403,2,51,1,aa,15,6,4,156.8962257002123
299555,1,50,1,aa,22,5,5,848.3567845871944
303093,1,50,2,aa,14,5,1,419.4704912862541
314173,2,36,1,aa,11,6,1,1909.555859888745
323493,2,50,1,aa,14,5,4,417.54177557004095
344483,2,50,2,aa,22,6,1,691.0712478577266
344706,2,50,1,aa,14,5,4,412.8195729196228
348946,1,51,1,aa,14,5,2,407.90104550455453
351013,1,60,2,aa,35,6,1,1121.2256153591634
351990,2,60,2,aa,32,5,2,1122.4812653469564
352385,1,51,2,aa,24,5,4,663.6158083521066
352456,1,60,2,aa,39,3,3,1128.6889511964243
353346,2,53,2,aa,44,2,4,382.46676217849654
355677,2,60,1,aa,42,5,4,1144.0657819238809
356285,2,50,2,aa,44,5,3,674.719634006561
356527,2,55,2,aa,35,2,5,297.0667341994075
356661,2,50,1,aa,14,3,3,422.81344159489606
378211,2,55,2,aa,44,5,1,299.1656807057351
378805,1,54,1,aa,32,3,5,968.2778670484848
379953,1,53,1,aa,38,5,3,976.5210589140197
381300,1,60,1,aa,34,1,3,1147.4971841505278
381504,1,53,1,aa,40,2,5,352.3084666268411
382490,1,51,1,aa,22,1,1,847.3065745249628
383815,1,50,2,aa,23,3,3,838.570988807496
384363,1,51,2,aa,35,1,3,313.9950334348558
384621,1,53,2,aa,42,1,3,364.5517580004547
419625,1,35,2,aa,12,3,3,2045.6655843018957
465646,1,43,2,aa,11,3,4,1145.7016599716148
